sensor_id,timestamp,temperature,humidity,location,sensor_type
1016,2025-04-10T08:09:27.000Z,19.96,46.88,BuildingA_Floor1,TypeA
1080,2025-04-07T12:45:14.000Z,31.0,54.39,BuildingA_Floor2,TypeA
1035,2025-04-09T09:45:50.000Z,16.5,63.51,BuildingA_Floor1,TypeA
1010,2025-04-07T10:32:36.000Z,33.07,59.49,BuildingB_Floor2,TypeA
1057,2025-04-09T18:06:13.000Z,26.55,55.45,BuildingA_Floor1,TypeB
1039,2025-04-10T22:35:59.000Z,33.77,49.78,BuildingA_Floor1,TypeC
1049,2025-04-10T22:26:56.000Z,32.27,57.08,BuildingB_Floor2,TypeA
1068,2025-04-09T02:21:20.000Z,29.26,66.21,BuildingB_Floor2,TypeA
1081,2025-04-10T11:11:56.000Z,21.67,67.76,BuildingB_Floor2,TypeC
1071,2025-04-07T06:41:50.000Z,21.01,56.03,BuildingB_Floor1,TypeA
1033,2025-04-07T06:03:19.000Z,32.63,32.61,BuildingA_Floor1,TypeB
1092,2025-04-11T20:10:14.000Z,31.12,35.67,BuildingB_Floor1,TypeB
1045,2025-04-07T07:51:15.000Z,25.8,68.65,BuildingA_Floor1,TypeA
1079,2025-04-07T18:54:13.000Z,19.58,30.19,BuildingA_Floor1,TypeA
1016,2025-04-07T21:57:17.000Z,16.05,39.99,BuildingA_Floor2,TypeB
1028,2025-04-09T01:48:15.000Z,23.04,70.53,BuildingB_Floor1,TypeA
1067,2025-04-07T03:29:28.000Z,32.22,59.16,BuildingB_Floor1,TypeC
1025,2025-04-10T23:38:15.000Z,15.78,49.01,BuildingB_Floor2,TypeC
1048,2025-04-10T08:40:53.000Z,21.26,61.35,BuildingA_Floor1,TypeB
1052,2025-04-11T17:44:11.000Z,17.5,46.24,BuildingA_Floor1,TypeB
1031,2025-04-11T18:42:30.000Z,16.52,64.41,BuildingB_Floor2,TypeC
1093,2025-04-09T13:02:18.000Z,18.44,36.55,BuildingB_Floor2,TypeA
1094,2025-04-08T00:20:29.000Z,32.25,76.74,BuildingA_Floor2,TypeC
1063,2025-04-08T15:32:44.000Z,26.11,69.88,BuildingA_Floor1,TypeB
1055,2025-04-09T12:08:59.000Z,17.76,60.04,BuildingB_Floor1,TypeA
1017,2025-04-08T08:15:24.000Z,30.77,38.05,BuildingB_Floor2,TypeC
1067,2025-04-07T04:55:12.000Z,34.67,50.49,BuildingA_Floor1,TypeC
1034,2025-04-10T12:39:06.000Z,19.85,72.87,BuildingB_Floor2,TypeA
1040,2025-04-10T05:29:21.000Z,24.82,43.73,BuildingA_Floor1,TypeC
1039,2025-04-07T19:33:15.000Z,26.47,63.1,BuildingA_Floor2,TypeC
1070,2025-04-11T05:43:25.000Z,25.5,51.18,BuildingB_Floor1,TypeB
1005,2025-04-11T00:29:19.000Z,23.69,50.32,BuildingB_Floor1,TypeB
1052,2025-04-10T05:37:09.000Z,32.58,49.83,BuildingB_Floor2,TypeB
1024,2025-04-09T09:07:51.000Z,29.25,38.58,BuildingA_Floor2,TypeB
1038,2025-04-09T13:55:53.000Z,31.31,75.98,BuildingB_Floor1,TypeB
1006,2025-04-09T19:09:53.000Z,32.36,43.42,BuildingA_Floor1,TypeA
1080,2025-04-09T19:05:35.000Z,16.45,30.86,BuildingA_Floor1,TypeC
1012,2025-04-10T04:48:48.000Z,21.98,33.61,BuildingB_Floor1,TypeC
1094,2025-04-09T09:01:15.000Z,26.85,67.1,BuildingB_Floor2,TypeA
1003,2025-04-09T20:00:54.000Z,15.52,34.06,BuildingA_Floor1,TypeB
1084,2025-04-10T16:12:32.000Z,27.78,44.22,BuildingB_Floor2,TypeA
1089,2025-04-08T02:26:10.000Z,26.38,70.87,BuildingA_Floor2,TypeA
1065,2025-04-09T03:45:28.000Z,23.34,73.61,BuildingA_Floor2,TypeA
1008,2025-04-10T18:53:25.000Z,30.73,50.33,BuildingA_Floor1,TypeA
1008,2025-04-11T01:25:11.000Z,22.32,32.67,BuildingB_Floor2,TypeB
1024,2025-04-09T17:21:02.000Z,20.23,32.52,BuildingB_Floor1,TypeB
1002,2025-04-09T20:28:15.000Z,25.34,53.36,BuildingA_Floor2,TypeC
1099,2025-04-10T04:56:08.000Z,24.12,30.48,BuildingB_Floor2,TypeA
1025,2025-04-09T02:44:18.000Z,28.14,74.72,BuildingA_Floor2,TypeA
1061,2025-04-09T05:42:06.000Z,19.71,64.47,BuildingB_Floor2,TypeC
1038,2025-04-09T06:52:24.000Z,22.63,44.64,BuildingB_Floor2,TypeC
1049,2025-04-10T22:23:30.000Z,25.76,66.48,BuildingB_Floor2,TypeA
1097,2025-04-11T20:43:06.000Z,34.44,55.35,BuildingB_Floor1,TypeC
1093,2025-04-11T04:47:07.000Z,28.21,74.94,BuildingB_Floor1,TypeA
1063,2025-04-08T18:16:31.000Z,19.53,55.35,BuildingB_Floor2,TypeC
1081,2025-04-08T00:27:55.000Z,24.2,67.77,BuildingB_Floor1,TypeA
1092,2025-04-10T08:08:16.000Z,31.83,34.66,BuildingA_Floor2,TypeC
1010,2025-04-10T13:28:45.000Z,18.9,39.58,BuildingA_Floor2,TypeC
1096,2025-04-07T23:22:53.000Z,32.65,36.46,BuildingB_Floor1,TypeB
1050,2025-04-12T01:33:48.000Z,18.45,76.59,BuildingA_Floor1,TypeC
